0: Task 0: initiated in idle 
0: Task 1: initiated in idle 
0: Task 2: initiated in idle 
0: Task 3: initiated in idle 
0: Task 4: initiated in idle 
0: Task 0: idle -> running, total time worked: 0 
20: Task 1: idle -> running, total time worked: 0 
20: Task 0: running -> preempted, total time worked: 20 
40: Task 2: idle -> running, total time worked: 0 
40: Task 1: running -> preempted, total time worked: 20 
80: Task 2: running -> finished, total time worked: 40 
79: Task 4: idle -> running, total time worked: 0 
99: Task 4: running -> finished, total time worked: 20 
100: Task 1: preempted -> running, total time worked: 20 
140: Task 1: running -> finished, total time worked: 60 
139: Task 3: idle -> running, total time worked: 0 
189: Task 3: running -> finished, total time worked: 50 
189: Task 0: preempted -> running, total time worked: 20 
319: Task 0: running -> finished, total time worked: 150 
